Pais,Miembro
Russia,Europe
Russia,Prev. Soviet Rep.
Russia,Asia
Liechtenstein,Europe
Canada,OECD
Canada,North America
Canada,G-7
Canada,NATO
Canada,NAFTA
Argentina,South America
China,Asia
Chile,South America
U.S.A.,ANZUS
U.S.A.,OECD
U.S.A.,North America
U.S.A.,G-7
U.S.A.,NATO
U.S.A.,NAFTA
Malaysia,Asia
Malaysia,ASEAN
Brazil,South America
Lebanon,Asia
Lebanon,Middle east
Australia,ANZUS
Australia,OECD
Australia,Australia & Pacific
Singapore,Asia
Singapore,ASEAN
India,Asia
Guyana,South America
Japan,Asia
Japan,OECD
Japan,G-7
South Africa,Africa
Austria,Europe
Austria,OECD
Austria,EU
Albania,Europe
Moldavia,Europe
Moldavia,Prev. Soviet Rep.
Portugal,Europe
Portugal,OECD
Portugal,EU
Yugoslavia,Europe
Andorra,Europe
Finland,Europe
Finland,OECD
Finland,EU
Belgium,Europe
Belgium,OECD
Belgium,NATO
Belgium,EU
Vatican,Europe
Armenia,Europe
Armenia,Prev. Soviet Rep.
Switzerland,Europe
Switzerland,OECD
Switzerland,EFTA
Bulgaria,Europe
Netherlands,Europe
Netherlands,OECD
Netherlands,NATO
Netherlands,EU
Kazakstan,Europe
Kazakstan,Prev. Soviet Rep.
Kazakstan,Asia
Czechia,Europe
Czechia,OECD
Sweden,Europe
Sweden,OECD
Sweden,EU
Latvia,Europe
Latvia,Prev. Soviet Rep.
Azerbaijan,Europe
Azerbaijan,Prev. Soviet Rep.
Denmark,Europe
Denmark,OECD
Denmark,NATO
Denmark,EU
Poland,Europe
Croatia,Europe
Turkey,Europe
Turkey,Asia
Turkey,OECD
Turkey,NATO
Luxembourg,Europe
Luxembourg,OECD
Luxembourg,NATO
Luxembourg,EU
Estonia,Europe
Estonia,Prev. Soviet Rep.
Spain,Europe
Spain,OECD
Spain,NATO
Spain,EU
Italy,Europe
Italy,OECD
Italy,G-7
Italy,NATO
Italy,EU
Lithuania,Europe
Lithuania,Prev. Soviet Rep.
Monaco,Europe
France,Europe
France,OECD
France,G-7
France,NATO
France,EU
Romania,Europe
Slovakia,Europe
Hungary,Europe
Iceland,Europe
Iceland,OECD
Iceland,NATO
Iceland,EFTA
Macedonia,Europe
Georgia,Europe
Georgia,Prev. Soviet Rep.
Norway,Europe
Norway,OECD
Norway,NATO
Norway,EFTA
Slovenia,Europe
Malta,Europe
Greece,Europe
Greece,OECD
Greece,NATO
Greece,EU
San Marino,Europe
Ukraine,Europe
Ukraine,Prev. Soviet Rep.
Great Britain,Europe
Great Britain,OECD
Great Britain,G-7
Great Britain,NATO
Great Britain,EU
Germany,Europe
Germany,OECD
Germany,G-7
Germany,NATO
Germany,EU
Ireland,Europe
Ireland,OECD
Ireland,EU
Bosnia-Herzegovina,Europe
Belarus,Europe
Belarus,Prev. Soviet Rep.
Saint Vincent,North America
Mali,Africa
Botswana,Africa
Cameroon,Africa
Jamaica,North America
Sudan,Africa
Malawi,Africa
Jordan,Asia
Jordan,Middle east
Saudi Arabia,Asia
Saudi Arabia,OPEC
Saudi Arabia,Middle east
Oman,Asia
Niger,Africa
Senegal,Africa
Mongolia,Asia
Nigeria,Africa
Nigeria,OPEC
Saint Lucia,North America
Rwanda,Africa
New Zealand,ANZUS
New Zealand,OECD
New Zealand,Australia & Pacific
Nicaragua,North America
Namibia,Africa
Panama,North America
Pakistan,Asia
Morocco,Africa
Saint Kitts-Nevis,North America
Tchad,Africa
Marshall Islands,Australia & Pacific
Micronesia,Australia & Pacific
Zimbabwe,Africa
Zambia,Africa
Western Sahara,Africa
"Congo, Democratic Republic of the",Africa
Nauru,Australia & Pacific
Kiribati,Australia & Pacific
Vanuatu,Australia & Pacific
Fiji,Australia & Pacific
West Samoa,Australia & Pacific
