Pais,I
Australia,Graficos\aus.bmp
Austria,Graficos\aut.bmp
Belgium,Graficos\bel.bmp
Canada,Graficos\can.bmp
Czechia,Graficos\cze.bmp
Denmark,Graficos\den.bmp
Finland,Graficos\fin.bmp
France,Graficos\fra.bmp
Germany,Graficos\ger.bmp
Greece,Graficos\gre.bmp
Iceland,Graficos\ice.bmp
Ireland,Graficos\ire.bmp
Italy,Graficos\ita.bmp
Japan,Graficos\jap.bmp
Luxembourg,Graficos\lux.bmp
Mexico,Graficos\mex.bmp
Netherlands,Graficos\net.bmp
New Zealand,Graficos\nze.bmp
Norway,Graficos\nor.bmp
Portugal,Graficos\por.bmp
Spain,Graficos\spa.bmp
Sweden,Graficos\swe.bmp
Switzerland,Graficos\swi.bmp
Turkey,Graficos\tur.bmp
Great Britain,Graficos\uk.bmp
U.S.A.,Graficos\usa.bmp
